,site,imgf,tstat,p,cohensd,meandiff,mean_inside,mean_outside,n_inside,n_outside,stddiff,std_inside,std_outside,CVdiff,CV_inside,CV_outside
0,RoanCamp,cam1-000-000098-0.tif,-662.2310182322619,0.0,-1.8514440636024188,-2.5451622,35.461914,38.007076,255875,255875,-0.48803198,1.1088438,1.5968758,-0.010746643,0.03126858,0.042015225
1,RoanCamp,cam1-000-000108-0.tif,-818.0576712357763,0.0,-1.6991195496220461,-2.1821022,35.743713,37.925816,463607,463607,-0.12573075,1.2198497,1.3455805,-0.0013516024,0.03412767,0.035479274
2,RoanCamp,cam1-000-000117-0.tif,-665.4535859342242,0.0,-1.467261359520508,-2.2211914,36.23841,38.459602,411387,411387,-0.10007048,1.4629725,1.563043,-0.00027039275,0.04037077,0.040641163
3,RoanCamp,cam1-000-000127-0.tif,-544.1869480160165,0.0,-1.1821844257638656,-1.8953743,36.27022,38.165596,423795,423795,0.06329179,1.634615,1.5713232,0.0038964935,0.045067687,0.041171193
4,RoanCamp,cam1-000-000138-0.tif,-695.0248793779582,0.0,-1.536293931372069,-2.625534,35.532295,38.15783,409338,409338,0.23925567,1.8244408,1.5851852,0.009803135,0.05134599,0.041542854
5,RoanCamp,cam1-000-000154-0.tif,-953.1167339814583,0.0,-2.347856077648301,-3.0706367,35.039894,38.11053,329594,329594,-0.073372245,1.2706463,1.3440186,0.0009965152,0.036262847,0.035266332
6,RoanCamp,cam1-000-000169-0.tif,-725.0736674148724,0.0,-1.721519839885136,-2.503151,34.970764,37.473915,354789,354789,-0.11343384,1.396212,1.5096458,-0.0003601238,0.03992512,0.040285245
7,RoanCamp,cam1-000-000179-0.tif,-692.7368721014327,0.0,-1.625267606897096,-2.4054832,35.128036,37.53352,363343,363343,-0.32270312,1.3098807,1.6325839,-0.0062079355,0.037288755,0.04349669
8,RoanCamp,cam1-000-000191-0.tif,-434.38848000406864,0.0,-1.196342468002349,-1.633194,35.161015,36.79421,263679,263679,-0.2728876,1.2218764,1.494764,-0.0058740936,0.034750886,0.04062498
9,RoanCamp,cam1-000-000236-0.tif,-117.61582985117431,0.0,-1.2666282743234163,-1.6211967,34.892868,36.514065,17245,17245,0.27969456,1.4121153,1.1324208,0.00945675,0.040470026,0.031013276
10,RoanCamp,cam1-000-000247-0.tif,-390.7333767007523,0.0,-1.703913362831642,-2.3495674,34.639786,36.989353,105171,105171,-0.038527012,1.3595262,1.3980532,0.0014514402,0.039247535,0.037796095
