,cam1-001-000238-0.tif,cam1-001-002044-0.tif,cam1-001-000451-0.tif,cam1-001-001821-0.tif,cam1-001-001405-0.tif,cam1-001-001659-0.tif,cam1-001-001014-0.tif,cam1-001-001236-0.tif,cam1-001-000064-0.tif,cam1-001-001806-0.tif,cam1-001-000909-0.tif,cam1-001-001380-0.tif,cam1-001-000077-0.tif,cam1-001-000618-0.tif,cam1-001-000602-0.tif,cam1-001-000869-0.tif,cam1-001-000092-0.tif,cam1-001-002009-0.tif,cam1-001-000428-0.tif,cam1-001-001262-0.tif
cam1-001-000238-0.tif,0.0,,,,,,,,,,,,,,,,,,,
cam1-001-002044-0.tif,,0.0,,,,,,,,,,,,,,,,,,
cam1-001-000451-0.tif,,,0.0,,,,,,,,,,,,,,,,,
cam1-001-001821-0.tif,,,,0.0,,,,,,,,,,,,,,,,
cam1-001-001405-0.tif,,,,,0.0,,,1.4711723327636719,,,,,,,,,,,,
cam1-001-001659-0.tif,,,,,,0.0,,,,,,,,,,,,,,
cam1-001-001014-0.tif,,,,,,,0.0,,,,,,,,-3.699260711669922,,,,,
cam1-001-001236-0.tif,,,,,1.4711723327636719,,,0.0,,,,,,,,,,,,
cam1-001-000064-0.tif,,,,,,,,,0.0,,,,,,,,,,,
cam1-001-001806-0.tif,,,,,,,,,,0.0,,,,,,,,,,
cam1-001-000909-0.tif,,,,,,,,,,,0.0,,,,,,,,,
cam1-001-001380-0.tif,,,,,,,,,,,,0.0,,,,,,,,-1.8078689575195312
cam1-001-000077-0.tif,,,,,,,,,,,,,0.0,,,,,,,
cam1-001-000618-0.tif,,,,,,,,,,,,,,0.0,,-1.6063957214355469,,,,
cam1-001-000602-0.tif,,,,,,,-3.699260711669922,,,,,,,,0.0,,,,,
cam1-001-000869-0.tif,,,,,,,,,,,,,,-1.6063957214355469,,0.0,,,,
cam1-001-000092-0.tif,,,,,,,,,,,,,,,,,0.0,,,
cam1-001-002009-0.tif,,,,,,,,,,,,,,,,,,0.0,,
cam1-001-000428-0.tif,,,,,,,,,,,,,,,,,,,0.0,
cam1-001-001262-0.tif,,,,,,,,,,,,-1.8078689575195312,,,,,,,,0.0
